Player,Age,Team,Pos,G,MP,PER,WS,WS/48,BPM,VORP,Salary_2526,salary_pct_cap
Maxime Raynaud,22,SAC,C,74,1964,16,3.6,0.088,-2.4,-0.2,1272870,0.823080952
Deandre Ayton,27,LAL,C,72,1958,18.2,6.2,0.152,-0.9,0.6,33654814,21.76234521
Jarace Walker,22,IND,PF,76,1953,11.5,0.5,0.013,-2.4,-0.2,6665520,4.310151506
Sam Hauser,28,BOS,PF,78,1934,11.9,5,0.124,0.6,1.3,10044644,6.495207796
Rui Hachimura,27,LAL,PF,68,1927,11.6,3.2,0.08,-2.2,-0.1,18259259,11.80705672
Neemias Queta,26,BOS,C,76,1926,20.3,9,0.224,2.8,2.4,2349578,1.519316896
Nic Claxton,26,BRK,C,69,1920,17.6,4.8,0.121,0.9,1.4,25352272,16.39363971
Myles Turner,29,MIL,C,71,1912,14.2,3,0.076,-0.9,0.5,25318251,16.37164057
Keldon Johnson,26,SAS,SF,82,1911,17.3,6.4,0.161,0.9,1.4,17500000,11.31609407
Anthony Black,22,ORL,PG,64,1910,13.7,2.6,0.067,-0.6,0.7,7970280,5.153853615
Tristan Da Silva,24,ORL,SF,77,1899,12,3.3,0.084,-0.6,0.7,3809520,2.463364954
Moussa DiabatÃ©,24,CHO,C,73,1899,17.2,7.4,0.188,1.7,1.8,2270735,1.468334336
Ausar Thompson,23,DET,SF,73,1896,16.2,5.7,0.144,3.1,2.4,8775000,5.674212885
Nique Clifford,23,SAC,SG,75,1882,9,-0.6,-0.014,-4.9,-1.4,3108120,2.009815903
Ayo Dosunmu,26,2TM,SG,69,1881,16.5,4.9,0.124,1,1.4,7518518,4.86172897
John Collins,28,LAC,PF,69,1872,16.3,4.6,0.117,-0.5,0.7,26580000,17.18753031
Draymond Green,35,GSW,PF,68,1869,10.4,1.7,0.044,-1.4,0.3,25892857,16.74320032
Victor Wembanyama,22,SAS,C,64,1866,29.9,10,0.257,10.7,6,13376880,8.649944713
Russell Westbrook,37,SAC,SF,64,1853,15.1,0.4,0.009,-0.4,0.7,2296274,1.48484872
Jamal Shead,23,TOR,PG,82,1852,10.5,2.7,0.07,-2.3,-0.1,1955377,1.264413147
Pelle Larsson,24,MIA,SG,70,1849,13.1,4.1,0.106,-1.2,0.4,1955377,1.264413147
Luguentz Dort,26,OKC,SF,69,1849,8.3,3,0.078,-2,0,18222222,11.78310733
Sion James,23,CHO,SG,82,1843,8.3,3.1,0.08,-2,0,2296274,1.48484872
Zion Williamson,25,NOP,PF,62,1841,22.6,6.1,0.159,2.9,2.3,39446090,25.50718087
Jaylen Wells,22,MEM,SG,69,1821,11.5,1.6,0.042,-3.1,-0.5,1955377,1.264413147
Nikola VuÄeviÄ,35,2TM,C,64,1818,17.7,4.4,0.116,1.5,1.6,21481481,13.89065485
Oso Ighodaro,23,PHO,PF,82,1808,13.8,4.7,0.125,0.1,0.9,1955377,1.264413147
Kyle Kuzma,30,MIL,PF,69,1806,14.1,1.9,0.051,-2.3,-0.1,22410605,14.49145797
